________                                                     ______   
___  __ \_____ ____________________ _______ _____________    ___  /__________     __  
__  /_/ /  __ `/_  ___/_  ___/  __ `/_  __ `/  _ \_  ___/    __  /_  _ \  __ \   /_/  
_  ____// /_/ /_(__  )_(__  )/ /_/ /_  /_/ //  __/(__  )     _  / /  __/ /_/ /   __   
/_/     \__,_/ /____/ /____/ \__,_/ _\__, / \___//____/      /_/  \___/\____/   /_/   
                                   /____/                                            
       ~+

                *       +
          '                  |
      ()    .-.,="``"=.    - o -
            '=/_       \     |
         *   |  '=._    |
              \     `=./`,        '
           .   '=.__.=' `='      *
  +                         +
       O      *        '       .

17/02/2023 19:42:58 => 19:50:12 | SARSAT-10 | NOAA 18
17/02/2023 20:00:01 => 20:10:28 | SARSAT-07 | NOAA 15
17/02/2023 20:19:58 => 20:32:32 | SARSAT-12 | NOAA 19
17/02/2023 20:27:08 => 20:39:51 | SARSAT-13 | METOP-B
17/02/2023 21:19:43 => 21:32:40 | SARSAT-10 | NOAA 18
17/02/2023 22:09:00 => 22:19:02 | SARSAT-13 | METOP-B
17/02/2023 23:02:07 => 23:12:28 | SARSAT-10 | NOAA 18
18/02/2023 01:52:20 => 02:01:21 | COSPAS-14 | METEOR M2-2
18/02/2023 03:30:58 => 03:43:44 | COSPAS-14 | METEOR M2-2
18/02/2023 05:12:22 => 05:20:26 | COSPAS-14 | METEOR M2-2
18/02/2023 06:33:04 => 06:43:23 | SARSAT-07 | NOAA 15
18/02/2023 07:01:09 => 07:09:17 | SARSAT-12 | NOAA 19
18/02/2023 08:12:05 => 08:24:39 | SARSAT-07 | NOAA 15
18/02/2023 08:40:03 => 08:53:13 | SARSAT-12 | NOAA 19
18/02/2023 08:43:33 => 08:54:38 | SARSAT-13 | METOP-B
18/02/2023 09:40:27 => 09:52:04 | SARSAT-10 | NOAA 18
18/02/2023 09:53:54 => 10:00:11 | SARSAT-07 | NOAA 15
18/02/2023 10:21:48 => 10:31:19 | SARSAT-12 | NOAA 19
18/02/2023 10:23:12 => 10:35:39 | SARSAT-13 | METOP-B
18/02/2023 11:20:44 => 11:33:32 | SARSAT-10 | NOAA 18
18/02/2023 12:05:52 => 12:10:39 | SARSAT-13 | METOP-B
18/02/2023 13:03:55 => 13:09:03 | SARSAT-10 | NOAA 18
18/02/2023 13:14:23 => 13:25:37 | COSPAS-14 | METEOR M2-2
18/02/2023 14:53:33 => 15:05:53 | COSPAS-14 | METEOR M2-2
18/02/2023 17:54:04 => 18:05:46 | SARSAT-07 | NOAA 15
18/02/2023 18:28:00 => 18:39:37 | SARSAT-12 | NOAA 19
18/02/2023 18:32:32 => 18:35:45 | SARSAT-13 | METOP-B
18/02/2023 19:31:56 => 19:37:23 | SARSAT-10 | NOAA 18
18/02/2023 19:33:43 => 19:45:34 | SARSAT-07 | NOAA 15
18/02/2023 20:06:44 => 20:19:00 | SARSAT-13 | METOP-B
18/02/2023 20:07:44 => 20:20:40 | SARSAT-12 | NOAA 19
18/02/2023 21:07:43 => 21:20:26 | SARSAT-10 | NOAA 18
18/02/2023 21:47:23 => 21:58:49 | SARSAT-13 | METOP-B
18/02/2023 22:49:23 => 23:00:37 | SARSAT-10 | NOAA 18
