________                                                     ______   
___  __ \_____ ____________________ _______ _____________    ___  /__________     __  
__  /_/ /  __ `/_  ___/_  ___/  __ `/_  __ `/  _ \_  ___/    __  /_  _ \  __ \   /_/  
_  ____// /_/ /_(__  )_(__  )/ /_/ /_  /_/ //  __/(__  )     _  / /  __/ /_/ /   __   
/_/     \__,_/ /____/ /____/ \__,_/ _\__, / \___//____/      /_/  \___/\____/   /_/   
                                   /____/                                            
       ~+

                *       +
          '                  |
      ()    .-.,="``"=.    - o -
            '=/_       \     |
         *   |  '=._    |
              \     `=./`,        '
           .   '=.__.=' `='      *
  +                         +
       O      *        '       .

27/02/2023 18:46:18 => 18:53:34 | SARSAT-13 | METOP-B
27/02/2023 18:57:57 => 19:11:39 | SARSAT-07 | NOAA 15
27/02/2023 18:58:40 => 19:11:54 | SARSAT-12 | NOAA 19
27/02/2023 20:23:44 => 20:37:11 | SARSAT-13 | METOP-B
27/02/2023 20:40:56 => 20:53:09 | SARSAT-12 | NOAA 19
27/02/2023 20:42:43 => 20:54:59 | SARSAT-10 | NOAA 18
27/02/2023 20:43:42 => 20:51:09 | SARSAT-07 | NOAA 15
27/02/2023 22:06:56 => 22:18:09 | SARSAT-13 | METOP-B
27/02/2023 22:23:50 => 22:36:55 | SARSAT-10 | NOAA 18
28/02/2023 02:17:12 => 02:29:29 | COSPAS-14 | METEOR M2-2
28/02/2023 03:58:38 => 04:11:42 | COSPAS-14 | METEOR M2-2
28/02/2023 05:43:15 => 05:47:35 | COSPAS-14 | METEOR M2-2
28/02/2023 05:46:23 => 05:51:45 | SARSAT-07 | NOAA 15
28/02/2023 07:25:03 => 07:38:39 | SARSAT-07 | NOAA 15
28/02/2023 07:26:15 => 07:37:30 | SARSAT-12 | NOAA 19
28/02/2023 08:50:58 => 09:03:32 | SARSAT-13 | METOP-B
28/02/2023 09:07:08 => 09:20:29 | SARSAT-12 | NOAA 19
28/02/2023 09:07:24 => 09:18:44 | SARSAT-07 | NOAA 15
28/02/2023 09:09:58 => 09:20:04 | SARSAT-10 | NOAA 18
28/02/2023 10:32:33 => 10:45:26 | SARSAT-13 | METOP-B
28/02/2023 10:50:27 => 11:04:12 | SARSAT-10 | NOAA 18
28/02/2023 10:50:36 => 10:57:50 | SARSAT-12 | NOAA 19
28/02/2023 12:13:39 => 12:20:16 | COSPAS-14 | METEOR M2-2
28/02/2023 12:17:54 => 12:20:23 | SARSAT-13 | METOP-B
28/02/2023 12:33:33 => 12:42:38 | SARSAT-10 | NOAA 18
28/02/2023 13:50:43 => 14:04:06 | COSPAS-14 | METEOR M2-2
28/02/2023 15:33:38 => 15:45:13 | COSPAS-14 | METEOR M2-2
28/02/2023 17:19:08 => 17:29:54 | SARSAT-07 | NOAA 15
28/02/2023 17:23:00 => 17:28:43 | SARSAT-12 | NOAA 19
28/02/2023 18:46:59 => 18:54:25 | SARSAT-13 | METOP-B
28/02/2023 18:58:45 => 19:12:27 | SARSAT-07 | NOAA 15
28/02/2023 18:59:26 => 19:12:41 | SARSAT-12 | NOAA 19
28/02/2023 20:24:31 => 20:37:59 | SARSAT-13 | METOP-B
